id,nama_obat,nama_generik,golongan,perlu_resep,tags
OBT001,Panadol 500mg,Paracetamol,Analgesik Antipiretik,Tidak,demam;sakit kepala;nyeri;panas;flu;sakit gigi;nyeri haid
OBT002,Biogesic 500mg,Paracetamol,Analgesik Antipiretik,Tidak,demam;panas;sakit kepala;nyeri;flu
OBT003,Bodrex Tablet,Paracetamol + Caffeine,Analgesik,Tidak,sakit kepala;migrain;pusing;sakit gigi
OBT004,Paramex Tablet,Paracetamol + Propyphenazone,Analgesik,Tidak,sakit kepala;sakit gigi;nyeri otot;pusing
OBT005,Oskadon Tablet,Paracetamol + Ibuprofen,Analgesik,Tidak,sakit kepala;migrain;sakit gigi;nyeri
OBT006,Mixagrip Tablet,Paracetamol + Pseudoephedrine,Analgesik Dekongestan,Tidak,flu;demam;pilek;hidung tersumbat;bersin
OBT007,Proris Ibuprofen 400mg,Ibuprofen,NSAID,Tidak,nyeri;sakit kepala;nyeri haid;sakit gigi;demam;nyeri otot
OBT008,Feminax Tablet,Paracetamol + Hyoscine,Analgesik Antispasmodik,Tidak,nyeri haid;kram perut;menstruasi;dismenore
OBT009,Neo Rheumacyl Tablet,Ibuprofen + Vitamin B,NSAID + Vitamin,Tidak,nyeri otot;pegal linu;nyeri sendi;encok;rematik
OBT010,Hufagrip Tablet,Paracetamol + Pseudoephedrine + CTM,Analgesik Dekongestan Antihistamin,Tidak,flu;demam;pilek;hidung tersumbat;bersin
OBT011,OBH Combi Batuk Flu,Paracetamol + Dextromethorphan,Antitusif Analgesik,Tidak,batuk;flu;demam;batuk kering;batuk tidak berdahak
OBT012,Woods Peppermint,Dextromethorphan,Antitusif,Tidak,batuk;batuk kering;batuk tidak berdahak
OBT013,Komix Herbal,Ekstrak Herbal,Obat Batuk Herbal,Tidak,batuk;tenggorokan gatal;batuk berdahak;herbal
OBT014,Bisolvon Tablet,Bromhexine,Mukolitik,Tidak,batuk;batuk berdahak;dahak kental;mukolitik
OBT015,Mucopect Tablet,Ambroxol,Mukolitik,Tidak,batuk berdahak;dahak;mukolitik
OBT016,Promag Tablet,Antasida,Antasida,Tidak,maag;asam lambung;perut kembung;mual;nyeri ulu hati
OBT017,Mylanta Tablet,Antasida,Antasida,Tidak,maag;asam lambung;nyeri ulu hati;kembung
OBT018,New Diatabs,Attapulgite,Antidiare,Tidak,diare;mencret;sakit perut;BAB cair
OBT019,Entrostop Tablet,Attapulgite + Pectin,Antidiare,Tidak,diare;mencret;BAB cair;sakit perut
